,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pochutla,MX,15.7432,-96.4661,79.83,76,100,8.81,overcast clouds
1,Brownwood,US,31.7093,-98.9912,96.8,33,0,16.11,clear sky
2,Vaini,TO,-21.2,-175.2,77.16,94,75,5.75,broken clouds
3,Sao Filipe,CV,14.8961,-24.4956,73.63,86,47,9.33,scattered clouds
4,New Norfolk,AU,-42.7826,147.0587,42.93,88,49,1.07,scattered clouds
5,Talnakh,RU,69.4865,88.3972,31.21,87,6,7.43,clear sky
6,Tasiilaq,GL,65.6145,-37.6368,41.16,94,100,29.21,moderate rain
7,Cape Town,ZA,-33.9258,18.4232,62.38,87,75,16.11,broken clouds
8,Dakar,SN,14.6937,-17.4441,85.08,83,40,9.22,scattered clouds
9,Marsa Matruh,EG,31.3525,27.2453,76.17,51,0,6.49,clear sky
10,Ternate,ID,0.8,127.4,77.13,83,100,6.22,light rain
11,Georgetown,MY,5.4112,100.3354,82.33,88,20,3.44,few clouds
12,Punta Arenas,CL,-53.15,-70.9167,44.71,57,40,18.41,scattered clouds
13,Trincomalee,LK,8.5711,81.2335,81.18,77,20,20.89,few clouds
14,Lorengau,PG,-2.0226,147.2712,78.78,75,84,1.52,broken clouds
15,Torbay,CA,47.6666,-52.7314,39.58,85,100,19.57,light rain
16,Puerto Ayora,EC,-0.7393,-90.3518,78.76,85,78,7.0,broken clouds
17,Jamestown,US,42.097,-79.2353,65.95,87,100,9.22,overcast clouds
18,Ponta Do Sol,PT,32.6667,-17.1,70.72,71,10,10.02,clear sky
19,Touros,BR,-5.1989,-35.4608,81.21,73,100,7.61,overcast clouds
20,Iqaluit,CA,63.7506,-68.5145,29.93,80,75,16.11,broken clouds
21,Thompson,CA,55.7435,-97.8558,51.96,54,40,3.44,scattered clouds
22,Formosa Do Rio Preto,BR,-11.0483,-45.1931,87.96,25,3,5.88,clear sky
23,Coahuayana,MX,18.7333,-103.6833,92.07,46,93,8.16,overcast clouds
24,Albany,US,42.6001,-73.9662,75.88,79,100,1.01,overcast clouds
25,Businga,CD,3.3333,20.8833,70.75,98,100,4.83,light rain
26,Busselton,AU,-33.65,115.3333,55.29,64,100,14.85,overcast clouds
27,Quatre Cocos,MU,-20.2078,57.7625,75.31,75,41,19.6,light rain
28,Faanui,PF,-16.4833,-151.75,80.94,70,1,17.87,clear sky
29,Port Alfred,ZA,-33.5906,26.891,63.18,87,8,7.0,clear sky
30,Bredasdorp,ZA,-34.5322,20.0403,59.29,72,1,14.52,clear sky
31,Salinopolis,BR,-0.6136,-47.3561,80.89,83,56,8.34,broken clouds
32,Dom Pedro,BR,-4.4833,-44.45,88.16,54,31,2.89,scattered clouds
33,Ushuaia,AR,-54.8,-68.3,37.06,81,75,23.02,broken clouds
34,Asau,RO,46.4333,26.4,56.32,93,100,5.79,light rain
35,Mataura,NZ,-46.1927,168.8643,45.48,94,100,2.68,overcast clouds
36,Grand Gaube,MU,-20.0064,57.6608,75.6,73,1,3.0,clear sky
37,Nicoya,CR,10.1483,-85.452,86.25,65,68,4.74,broken clouds
38,Saint-Philippe,RE,-21.3585,55.7679,69.39,68,66,12.57,broken clouds
39,Meulaboh,ID,4.1363,96.1285,75.76,87,100,4.92,overcast clouds
40,Pau Brasil,BR,-15.4642,-39.6511,81.41,53,56,5.44,broken clouds
41,Alofi,NU,-19.0595,-169.9187,75.09,88,100,3.44,overcast clouds
42,Marfino,RU,55.7028,37.3822,50.16,68,0,6.71,clear sky
43,Port Elizabeth,ZA,-33.918,25.5701,62.89,90,20,23.02,few clouds
44,Kruisfontein,ZA,-34.0033,24.7314,58.89,85,1,8.66,clear sky
45,Bengkulu,ID,-3.8004,102.2655,74.75,85,99,3.27,overcast clouds
46,Rikitea,PF,-23.1203,-134.9692,76.08,72,2,8.1,clear sky
47,Grindavik,IS,63.8424,-22.4338,57.15,71,75,24.16,broken clouds
48,Khatanga,RU,71.9667,102.5,31.21,95,100,10.67,overcast clouds
49,Qax,AZ,41.4225,46.9242,67.19,67,2,5.48,clear sky
50,Farafangana,MG,-22.8167,47.8333,69.42,73,77,5.53,light rain
51,Mayumba,GA,-3.432,10.6554,72.75,90,1,5.59,clear sky
52,Atuona,PF,-9.8,-139.0333,78.01,79,44,18.77,light rain
53,Butaritari,KI,3.0707,172.7902,81.5,77,100,16.78,overcast clouds
54,Luderitz,NA,-26.6481,15.1594,55.4,87,0,8.79,clear sky
55,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,93,100,0.0,light snow
56,Cabo San Lucas,MX,22.8909,-109.9124,96.1,37,0,4.61,clear sky
57,Kapaa,US,22.0752,-159.319,78.48,80,40,11.5,scattered clouds
58,Beringovskiy,RU,63.05,179.3167,39.0,84,17,7.54,few clouds
59,Buala,SB,-8.145,159.5921,78.17,86,92,3.96,moderate rain
60,Upernavik,GL,72.7868,-56.1549,28.54,76,98,4.99,overcast clouds
61,Montijo,PT,38.7067,-8.9739,70.57,71,0,13.8,clear sky
62,Kirakira,SB,-10.4544,161.9205,79.3,81,92,1.68,overcast clouds
63,Arrecife,ES,28.963,-13.5477,73.38,53,40,6.91,scattered clouds
64,Hobart,AU,-42.8794,147.3294,43.27,93,75,4.61,broken clouds
65,Geraldton,AU,-28.7667,114.6,59.41,82,40,11.5,scattered clouds
66,Edd,ER,13.9297,41.6925,88.7,64,46,8.88,scattered clouds
67,East London,ZA,-33.0153,27.9116,68.94,73,0,10.36,clear sky
68,Qaanaaq,GL,77.484,-69.3632,30.51,69,95,17.0,light snow
69,Hermanus,ZA,-34.4187,19.2345,58.8,79,1,19.6,clear sky
70,Qena,EG,26.1615,32.7183,90.66,15,0,12.86,clear sky
71,Kjollefjord,NO,70.9457,27.3465,48.25,71,16,16.73,few clouds
72,Parambu,BR,-6.2111,-40.6944,78.17,60,96,6.08,overcast clouds
73,Ribeira Grande,PT,38.5167,-28.7,63.0,63,40,17.27,scattered clouds
74,Nizwa,OM,22.9333,57.5333,91.36,14,0,6.71,clear sky
75,Kaoma,ZM,-14.7833,24.8,58.71,48,0,4.41,clear sky
76,Ayagoz,KZ,47.9714,80.4392,60.6,74,99,8.34,overcast clouds
77,Kununurra,AU,-15.7667,128.7333,58.98,82,6,0.0,clear sky
78,Bilibino,RU,68.0546,166.4372,39.42,57,88,3.49,overcast clouds
79,Cururupu,BR,-1.8283,-44.8683,81.18,78,86,3.71,overcast clouds
80,Yellowknife,CA,62.456,-114.3525,59.56,41,75,19.57,broken clouds
81,Coquimbo,CL,-29.9533,-71.3436,58.73,67,40,8.05,scattered clouds
82,Castro,BR,-24.7911,-50.0119,70.0,58,14,7.92,few clouds
83,Petauke,ZM,-14.2426,31.3253,58.98,57,0,6.96,clear sky
84,Gravdal,NO,68.1214,13.5031,45.1,90,100,4.34,overcast clouds
85,Adrar,MR,20.5022,-10.0711,94.95,25,67,8.14,broken clouds
86,Esperance,AU,-33.8667,121.9,51.64,64,95,27.69,light rain
87,Bluff,NZ,-46.6,168.3333,45.81,88,97,7.92,overcast clouds
88,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,90.3,26,3,3.58,clear sky
89,Liwale,TZ,-9.7667,37.9333,65.66,61,46,4.97,scattered clouds
90,Yanji,CN,42.9075,129.5078,61.07,65,100,1.72,overcast clouds
91,Tabou,CI,4.423,-7.3528,79.65,81,17,7.67,few clouds
92,Hualmay,PE,-11.0964,-77.6139,68.72,69,16,10.87,few clouds
93,Kholodnyy,RU,62.7167,147.95,41.07,75,59,1.59,broken clouds
94,Fort Nelson,CA,58.8053,-122.7002,58.59,47,75,12.66,broken clouds
95,Tondano,ID,1.3038,124.9112,68.09,88,100,0.92,overcast clouds
96,Broome,US,42.2506,-75.833,67.66,81,100,11.5,overcast clouds
97,Villamontes,BO,-21.25,-63.5,66.87,71,100,4.21,overcast clouds
98,Lebu,CL,-37.6167,-73.65,49.15,65,4,18.7,clear sky
99,Dong Hoi,VN,17.4833,106.6,79.61,79,63,6.4,broken clouds
100,Codrington,AU,-38.2667,141.9667,48.92,92,97,6.85,overcast clouds
101,Palmer,US,42.1584,-72.3287,71.46,85,100,9.22,thunderstorm with rain
102,Buraydah,SA,26.326,43.975,93.65,10,5,13.27,clear sky
103,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,81,0,13.8,clear sky
104,Key West,US,24.5557,-81.7826,91.4,63,0,8.05,clear sky
105,Leningradskiy,RU,69.3833,178.4167,30.45,85,97,2.62,overcast clouds
106,Chuy,UY,-33.6971,-53.4616,56.57,73,100,6.55,overcast clouds
107,Namtsy,RU,62.7161,129.6658,46.99,82,100,10.33,light rain
108,Longyearbyen,SJ,78.2186,15.6401,49.84,57,40,10.36,scattered clouds
109,Calabar,NG,4.9517,8.322,74.73,89,53,3.96,broken clouds
110,Pangnirtung,CA,66.1451,-65.7125,32.0,74,75,6.91,broken clouds
111,Saskylakh,RU,71.9167,114.0833,14.94,98,80,1.88,broken clouds
112,Oyem,GA,1.5995,11.5793,69.85,93,85,2.21,light rain
113,Kollam,IN,8.8833,76.6,78.55,85,64,3.22,broken clouds
114,Lazaro Cardenas,MX,17.9583,-102.2,86.43,62,100,12.46,overcast clouds
115,Provideniya,RU,64.3833,-173.3,43.45,75,26,5.88,scattered clouds
116,Waingapu,ID,-9.6567,120.2641,76.12,86,100,4.41,overcast clouds
117,Dunedin,NZ,-45.8742,170.5036,43.81,80,100,3.11,overcast clouds
118,Bethel,US,41.3712,-73.414,67.51,91,100,4.61,heavy intensity rain
119,Catole Do Rocha,BR,-6.3439,-37.7467,77.67,72,96,13.4,overcast clouds
120,Saint-Augustin,CA,51.226,-58.6502,42.55,91,100,22.3,overcast clouds
121,Dikson,RU,73.5069,80.5464,29.75,87,100,13.65,overcast clouds
122,Zhicheng,CN,30.2956,111.5047,67.48,94,0,1.95,clear sky
123,Pisco,PE,-13.7,-76.2167,66.02,77,50,9.22,mist
124,Olafsvik,IS,64.8945,-23.7142,50.99,72,100,10.71,overcast clouds
125,Omboue,GA,-1.5746,9.2618,73.67,88,7,7.56,clear sky
126,Constitucion,CL,-35.3333,-72.4167,53.15,48,80,10.89,broken clouds
127,Kanigoro,ID,-8.13,112.219,73.02,94,15,5.19,few clouds
128,Namibe,AO,-15.1961,12.1522,64.99,85,61,6.89,broken clouds
129,Kumluca,TR,36.3703,30.2869,79.38,56,60,3.8,broken clouds
130,Flinders,AU,-34.5833,150.8552,51.39,84,26,4.0,scattered clouds
131,Charagua,BO,-19.8,-63.2167,71.17,50,69,9.17,broken clouds
132,Gunjur,GM,13.2019,-16.7339,84.27,70,20,13.8,few clouds
133,Solnechnyy,RU,50.7214,136.6319,44.82,99,100,3.04,overcast clouds
134,El Salto,MX,20.3333,-104.5,92.17,14,4,6.64,clear sky
135,Narsaq,GL,60.9167,-46.05,61.02,46,4,6.15,clear sky
136,Baker City,US,44.7749,-117.8344,53.6,58,100,4.61,overcast clouds
137,Asfi,MA,32.2994,-9.2372,66.49,79,17,6.49,few clouds
138,Nouadhibou,MR,20.931,-17.0347,73.38,68,0,20.71,clear sky
139,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,61,0,10.36,clear sky
140,Magadi,IN,12.9667,77.2333,75.36,75,15,8.46,few clouds
141,Verkhnevilyuysk,RU,63.4453,120.3167,38.62,68,100,5.17,overcast clouds
142,Charters Towers,AU,-20.1,146.2667,59.18,57,8,5.88,clear sky
143,Hilo,US,19.7297,-155.09,80.28,85,100,6.91,overcast clouds
144,Pevek,RU,69.7008,170.3133,29.59,73,97,4.25,overcast clouds
145,Rio Grande,BR,-32.035,-52.0986,62.71,81,100,5.06,overcast clouds
146,Chokurdakh,RU,70.6333,147.9167,29.82,88,100,3.11,overcast clouds
147,Rognan,NO,67.0953,15.3878,48.76,82,99,2.06,overcast clouds
148,Picos,BR,-7.0769,-41.4669,86.7,44,41,8.7,scattered clouds
149,Ilulissat,GL,69.2167,-51.1,35.62,80,75,10.36,broken clouds
150,San Fernando,PH,15.0286,120.6898,82.13,86,91,1.79,overcast clouds
151,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,73,100,13.15,overcast clouds
152,Ancud,CL,-41.8697,-73.8203,47.86,65,93,9.24,overcast clouds
153,Nome,US,64.5011,-165.4064,33.87,93,100,5.75,overcast clouds
154,Alice Springs,AU,-23.7,133.8833,65.75,42,19,0.0,few clouds
155,Kodiak,US,57.79,-152.4072,69.31,30,0,10.36,clear sky
156,Darhan,MN,49.4867,105.9228,41.68,51,68,5.68,broken clouds
157,Pitimbu,BR,-7.4706,-34.8086,79.39,89,100,5.57,light rain
158,Deputatskiy,RU,69.3,139.9,22.96,89,24,0.45,few clouds
159,Kirensk,RU,57.7853,108.1119,36.95,65,78,3.83,broken clouds
160,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,78,75,5.99,broken clouds
161,Muscat,OM,23.6139,58.5922,91.42,48,0,2.82,clear sky
162,Surt,LY,31.2089,16.5887,71.4,75,3,12.15,clear sky
163,Bathsheba,BB,13.2167,-59.5167,86.61,62,40,18.41,scattered clouds
164,Hithadhoo,MV,-0.6,73.0833,84.38,68,71,10.09,broken clouds
165,Matamoros,MX,25.5333,-103.25,93.74,15,0,4.72,clear sky
166,Guerrero Negro,MX,27.9769,-114.0611,68.67,59,15,17.27,few clouds
167,Wolbrom,PL,50.3796,19.7583,53.01,74,7,8.01,clear sky
168,China,MX,25.7,-99.2333,98.55,25,0,8.68,clear sky
169,Mitsamiouli,KM,-11.3847,43.2844,78.85,71,35,9.22,scattered clouds
170,Mar Del Plata,AR,-38.0023,-57.5575,58.08,60,75,6.91,broken clouds
171,Avarua,CK,-21.2078,-159.775,78.85,78,20,6.91,few clouds
172,Sioux Lookout,CA,50.1001,-91.917,69.87,49,75,8.05,broken clouds
173,Okhotsk,RU,59.3833,143.3,36.07,88,28,4.21,scattered clouds
174,Karratha,AU,-20.7377,116.8463,75.02,82,100,9.15,light rain
175,Ola,RU,59.5833,151.2833,37.78,92,82,4.27,broken clouds
176,Kendari,ID,-3.945,122.4989,75.27,93,100,1.83,overcast clouds
177,Peterhead,GB,57.5058,-1.7981,48.6,85,19,21.97,few clouds
178,Inhambane,MZ,-23.865,35.3833,71.58,78,20,5.75,few clouds
179,Lae,PG,-6.7221,146.9847,75.42,88,14,5.86,few clouds
180,Margate,GB,51.3813,1.3862,56.3,76,100,3.0,overcast clouds
181,Santa Marta,CO,11.2408,-74.199,95.05,52,20,9.22,few clouds
182,Piacabucu,BR,-10.4056,-36.4344,79.18,72,98,8.61,light rain
183,Touho,NC,-20.7833,165.2333,73.22,79,0,4.9,clear sky
184,Bindura,ZW,-17.3019,31.3306,55.83,62,0,2.48,clear sky
185,Loveland,US,40.3978,-105.075,83.43,31,0,10.0,clear sky
186,Bouillante,GP,16.1304,-61.7692,83.43,67,100,11.7,overcast clouds
187,Bud,US,39.447,-86.1758,74.91,67,10,6.69,clear sky
188,Altay,CN,47.8667,88.1167,66.31,32,60,4.76,broken clouds
189,Norman Wells,CA,65.282,-126.8329,48.24,49,40,8.05,scattered clouds
190,Nioro,GM,13.35,-15.75,95.68,34,75,4.23,broken clouds
191,Itoman,JP,26.1247,127.6694,79.57,100,100,11.5,overcast clouds
192,Shagonar,RU,51.5333,92.8,57.72,41,100,2.64,overcast clouds
193,Merauke,ID,-8.4667,140.3333,75.4,84,9,10.16,clear sky
194,Lincoln,US,40.8,-96.667,86.86,50,0,14.97,clear sky
195,Sur,OM,22.5667,59.5289,87.46,60,0,10.69,clear sky
196,Lapy,PL,52.9911,22.8842,47.25,95,69,9.37,broken clouds
197,San Quintin,MX,30.4833,-115.95,66.4,65,15,19.06,few clouds
198,Sinegorye,RU,62.0788,150.477,41.72,71,97,2.68,overcast clouds
199,Mahebourg,MU,-20.4081,57.7,75.49,73,40,14.97,scattered clouds
200,Poum,NC,-20.2333,164.0167,76.64,70,13,7.72,few clouds
201,Findochty,GB,57.6974,-2.901,50.92,81,93,11.01,overcast clouds
202,Horsham,GB,51.064,-0.3272,61.65,51,20,16.11,few clouds
203,Nizhniy Kuranakh,RU,58.8353,125.4869,47.21,95,99,0.6,overcast clouds
204,Del Rio,US,29.3627,-100.8968,96.24,46,0,17.27,clear sky
205,Klyuchi,RU,52.2667,79.1667,63.41,66,100,9.31,light rain
206,Saint-Joseph,RE,-21.3667,55.6167,68.38,69,49,11.59,scattered clouds
207,Asmar,AF,35.0333,71.3581,74.79,44,3,8.01,clear sky
208,Port Shepstone,ZA,-30.7414,30.455,69.57,58,0,10.25,clear sky
209,Bingol,TR,38.8847,40.4939,64.02,51,9,3.22,clear sky
210,Najran,SA,17.4924,44.1277,86.65,14,6,3.33,clear sky
211,Alto Araguaia,BR,-17.3147,-53.2153,83.79,34,2,4.07,clear sky
212,Aksu,CN,41.1231,80.2644,78.76,19,90,9.17,overcast clouds
213,Usinsk,RU,65.9939,57.5281,60.21,50,4,19.64,clear sky
214,Amapa,BR,1.0,-52.0,79.48,94,17,3.85,few clouds
215,Mirabad,AF,30.4362,61.8383,77.34,21,0,23.29,clear sky
216,Tuscaloosa,US,33.2098,-87.5692,82.09,58,75,4.61,broken clouds
217,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,40,14.97,light rain
218,Caravelas,BR,-17.7125,-39.2481,76.6,69,85,5.84,overcast clouds
219,Mersin,TR,36.862,34.6509,75.36,58,2,1.23,clear sky
220,Saraland,US,30.8207,-88.0706,87.1,51,0,2.19,clear sky
221,Hobyo,SO,5.3505,48.5268,78.44,84,18,22.55,few clouds
222,Tepalcatepec,MX,19.1833,-102.85,100.98,24,95,4.03,overcast clouds
223,Shebalino,RU,51.2917,85.6772,59.27,77,29,3.29,scattered clouds
224,Huntington,US,38.4193,-82.4452,73.87,73,75,8.05,broken clouds
225,Kenai,US,60.5544,-151.2583,67.03,38,0,3.44,clear sky
226,Nishihara,JP,26.1842,127.7558,78.85,100,75,11.5,broken clouds
227,Tamandare,BR,-8.7597,-35.1047,73.98,96,100,4.12,light rain
228,Aklavik,CA,68.2191,-135.0107,35.6,75,75,3.44,broken clouds
229,Monduli,TZ,-3.3,36.45,61.45,87,100,9.04,overcast clouds
230,Ust-Tsilma,RU,65.441,52.1498,53.71,95,100,5.59,light rain
231,Honiara,SB,-9.4333,159.95,76.69,85,88,2.44,overcast clouds
232,Northport,US,33.229,-87.5772,82.13,58,75,4.61,broken clouds
233,Half Moon Bay,US,37.4636,-122.4286,76.87,65,40,9.22,scattered clouds
234,Snihurivka,UA,47.0758,32.8052,61.97,71,78,6.29,broken clouds
235,Coihaique,CL,-45.5752,-72.0662,44.55,53,20,3.44,few clouds
236,Vao,NC,-22.6667,167.4833,74.46,80,77,8.39,broken clouds
237,Melivoia,GR,39.75,22.8,74.82,70,0,3.98,clear sky
238,Aykhal,RU,66.0,111.5,39.74,54,77,4.0,broken clouds
239,Yilan,TW,24.757,121.753,77.36,99,17,2.62,few clouds
240,Kaputa,ZM,-8.4689,29.6619,69.31,62,1,5.28,clear sky
241,Paraiso,CR,9.8383,-83.8656,74.26,81,86,3.13,overcast clouds
242,Tautira,PF,-17.7333,-149.15,79.48,76,30,14.67,scattered clouds
243,Antsohihy,MG,-14.8796,47.9875,75.2,64,69,8.52,broken clouds
244,Nanortalik,GL,60.1432,-45.2371,40.23,81,89,2.84,overcast clouds
245,Abonnema,NG,4.7084,6.7931,78.24,80,87,6.62,overcast clouds
246,Lukulu,ZM,-14.3707,23.242,60.51,45,0,4.38,clear sky
247,Oyama,JP,36.3,139.8,72.59,53,4,1.7,clear sky
248,Parang,PH,7.3704,124.2697,74.1,86,99,3.56,overcast clouds
249,Posse,BR,-14.0931,-46.3694,82.87,22,0,5.99,clear sky
250,Stanger,ZA,-29.3282,31.2895,64.29,66,0,6.71,clear sky
251,Kabare,CD,-2.4683,28.8242,61.79,95,100,2.04,light rain
252,Indramayu,ID,-6.3264,108.32,78.55,81,34,4.97,scattered clouds
253,Morehead,US,37.2711,-87.1764,69.78,72,100,5.75,overcast clouds
254,Yuxia,CN,34.0615,108.6291,66.81,51,13,8.05,few clouds
255,Nikolskoye,RU,59.7035,30.7861,51.69,95,19,0.63,few clouds
256,Ornes,NO,66.8689,13.7078,46.09,90,99,2.62,overcast clouds
257,Lompoc,US,34.6391,-120.4579,73.69,77,100,11.01,overcast clouds
258,Egvekinot,RU,66.3167,-179.1667,35.92,86,100,3.33,overcast clouds
259,Barrow,US,71.2906,-156.7887,33.82,86,100,5.75,overcast clouds
260,Hofn,IS,64.2539,-15.2082,50.0,73,0,11.68,clear sky
261,Onega,RU,63.9061,38.1404,50.68,92,52,6.31,broken clouds
262,Ginda,IN,30.6945,78.4932,61.12,72,1,6.76,clear sky
263,Luanda,AO,-8.8368,13.2343,75.2,78,20,11.5,few clouds
264,Ziro,IN,27.6333,93.8333,52.54,95,4,0.89,clear sky
265,Rawson,AR,-43.3002,-65.1023,45.99,46,95,25.28,overcast clouds
266,Davila,PH,18.4726,120.5763,78.78,78,100,8.57,overcast clouds
267,Necochea,AR,-38.5473,-58.7368,51.93,42,5,9.22,clear sky
268,Ketchikan,US,55.3422,-131.6461,52.27,87,100,6.91,light rain
269,Ahipara,NZ,-35.1667,173.1667,61.48,70,100,17.09,moderate rain
270,Tura,IN,25.5198,90.2201,72.54,85,0,3.94,clear sky
271,Sinjai,ID,-5.1241,120.253,74.52,88,100,4.12,overcast clouds
272,Kirn,DE,49.7833,7.45,60.42,63,32,5.86,scattered clouds
273,Maldonado,UY,-34.6667,-54.9167,56.59,65,99,4.05,overcast clouds
274,Baracoa,CU,20.3467,-74.4958,83.57,73,100,7.0,overcast clouds
275,Kinsale,IE,51.7075,-8.5306,59.23,67,20,5.75,few clouds
276,Victoria,HK,22.2855,114.1577,84.38,86,93,15.01,overcast clouds
277,Bambanglipuro,ID,-7.95,110.2833,75.63,92,44,3.62,scattered clouds
